Input.file,Event.Number,Species.Code,Call,UTC,End.time,Parameter.1,Parameter.2,Parameter.3,Parameter.4,Parameter.5,Parameter.6,Comments,Image,Audio
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824051158.wav,3/7/2023 13:12,Bm,A NE Pacific,8/24/2021 5:13:00,,,,,,,,1.G,,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824051158.wav,3/7/2023 13:12,Bm,B NE Pacific,8/24/2021 5:13:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824061158.wav,3/7/2023 13:13,Bm,B NE Pacific,8/24/2021 6:13:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824061158.wav,3/7/2023 13:13,Bm,A NE Pacific,8/24/2021 6:13:00,,,,,,,,"1,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824071158.wav,3/7/2023 13:13,Bm,A NE Pacific,8/24/2021 7:13:00,,,,,,,,"1,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824071158.wav,3/7/2023 13:13,Bm,B NE Pacific,8/24/2021 7:13:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824081158.wav,3/7/2023 13:14,Bm,B NE Pacific,8/24/2021 8:14:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824081158.wav,3/7/2023 13:14,Bm,A NE Pacific,8/24/2021 8:15:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824091158.wav,3/7/2023 13:14,Bm,A NE Pacific,8/24/2021 9:15:00,,,,,,,,"1,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824091158.wav,3/7/2023 13:14,Bm,B NE Pacific,8/24/2021 9:14:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824101158.wav,3/7/2023 13:15,Bm,B NE Pacific,8/24/2021 10:12:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824101158.wav,3/7/2023 13:15,Bm,A NE Pacific,8/24/2021 10:14:00,,,,,,,,"1,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824111158.wav,3/7/2023 13:16,Bm,B NE Pacific,8/24/2021 11:16:00,,,,,,,,"1,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824113558.wav,3/7/2023 13:56,Bm,D,8/24/2021 11:36:00,,,,,,,,"3,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824121158.wav,3/7/2023 14:03,Bm,B NE Pacific,8/24/2021 12:14:00,,,,,,,,"1,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824121158.wav,3/7/2023 14:03,Bm,A NE Pacific,8/24/2021 12:16:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824131158.wav,3/7/2023 14:04,Bm,A NE Pacific,8/24/2021 13:14:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824131158.wav,3/7/2023 14:04,Bm,B NE Pacific,8/24/2021 13:14:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824131158.wav,3/7/2023 14:16,Bm,B NE Pacific,8/24/2021 13:15:00,,,,,,,,"2,B",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824135958.wav,3/7/2023 14:40,Bm,A NE Pacific,8/24/2021 14:02:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824135958.wav,3/7/2023 14:40,Bm,B NE Pacific,8/24/2021 14:02:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824151158.wav,3/7/2023 14:41,Bm,A NE Pacific,8/24/2021 15:12:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824151158.wav,3/7/2023 14:41,Bm,B NE Pacific,8/24/2021 15:13:00,,,,,,,,"3,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824161158.wav,3/7/2023 14:42,Bm,B NE Pacific,8/24/2021 16:15:00,,,,,,,,"3,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824161158.wav,3/7/2023 14:42,Bm,A NE Pacific,8/24/2021 16:15:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824171158.wav,3/7/2023 14:45,Bm,A NE Pacific,8/24/2021 17:12:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824171158.wav,3/7/2023 14:45,Bm,B NE Pacific,8/24/2021 17:13:00,,,,,,,,"2,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824181158.wav,3/7/2023 14:46,Bm,A NE Pacific,8/24/2021 18:14:00,,,,,,,,"1,G",,
H:\RECORDINGS\500Hz\ADRIFT_001_500Hz\5987.210824181158.wav,3/7/2023 14:46,Bm,B NE Pacific,8/24/2021 18:14:00,,,,,,,,"2,G",,
