Input.file,Event.Number,Species.Code,Call,Start.time,End.time,Parameter.1,Parameter.2,Parameter.3,Parameter.4,Parameter.5,Parameter.6,Comments,Image,Audio
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928164442.wav,4/24/2023 14:16,Bm,B NE Pacific,9/28/2022 17:04:26,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928175212.wav,4/24/2023 14:16,Bm,B NE Pacific,9/28/2022 18:02:44,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928175212.wav,4/24/2023 14:16,Bm,A NE Pacific,9/28/2022 18:01:58,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928185942.wav,4/24/2023 14:18,Bm,B NE Pacific,9/28/2022 19:14:05,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928194441.wav,4/24/2023 14:18,Bm,B NE Pacific,9/28/2022 20:00:39,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928200712.wav,4/24/2023 14:18,Bm,A NE Pacific,9/28/2022 20:12:08,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928200712.wav,4/24/2023 14:18,Bm,D,9/28/2022 20:12:57,NA,NA,NA,NA,NA,NA,NA,"1,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928205212.wav,4/24/2023 14:19,Bm,B NE Pacific,9/28/2022 21:01:47,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928205212.wav,4/24/2023 14:19,Bm,A NE Pacific,9/28/2022 21:07:12,NA,NA,NA,NA,NA,NA,NA,"3,G",NA,NA
H:\RECORDINGS\500Hz\ADRIFT_034_500Hz\6668.220928215942.wav,4/24/2023 14:19,Bm,B NE Pacific,9/28/2022 22:02:13,NA,NA,NA,NA,NA,NA,NA,"2,G",NA,NA
