V1,V2,V3
-121.507453416149,36,-18.4756488800049
-121.490683229814,36,165.974349975586
-121.473913043478,36,374.474365234375
-121.457142857143,36,518.511169433594
-121.440372670807,36,767.181213378906
-121.423602484472,36,943.551208496094
-121.406832298137,36,815.601196289062
-121.390062111801,36,644.331176757812
-121.373291925466,36,623.141174316406
-121.35652173913,36,537.211181640625
-121.339751552795,36,610.351196289062
-121.32298136646,36,500.152679443359
-121.306211180124,36,474.722686767578
-121.289440993789,36,476.522674560547
-121.272670807453,36,422.812683105469
-121.255900621118,36,351.792694091797
-121.239130434783,36,309.502685546875
-121.222360248447,36,320.222686767578
-121.205590062112,36,352.562683105469
-121.188819875776,36,369.089965820312
-121.172049689441,36,346.7099609375
-121.155279503106,36,360.599975585938
-121.13850931677,36,362.689971923828
-121.121739130435,36,361.239959716797
-121.104968944099,36,395.359954833984
-121.088198757764,36,444.529968261719
-121.071428571429,36,475.719970703125
-121.054658385093,36,501.943054199219
-121.037888198758,36,536.073059082031
-121.021118012422,36,613.983032226562
-121.004347826087,36,522.943054199219
-120.987577639752,36,440.89306640625
-120.970807453416,36,406.343048095703
-120.954037267081,36,364.883056640625
-120.937267080745,36,343.733062744141
-120.92049689441,36,256.353912353516
-120.903726708075,36,155.77392578125
-120.886956521739,36,131.003921508789
-120.870186335404,36,159.513916015625
-120.853416149068,36,245.313919067383
-120.836645962733,36,256.263916015625
-120.819875776398,36,300.233917236328
-120.803105590062,36,369.513916015625
-120.786335403727,36,331.796447753906
-120.769565217391,36,340.966430664062
-120.752795031056,36,404.136444091797
-120.736024844721,36,482.066436767578
-120.719254658385,36,503.976440429688
-120.70248447205,36,542.076416015625
-120.685714285714,36,610.326416015625
-120.668944099379,36,610.966430664062
-120.652173913043,36,554.153869628906
-120.635403726708,36,471.533874511719
-120.618633540373,36,516.433898925781
-120.601863354037,36,504.933868408203
-120.585093167702,36,601.813903808594
-120.568322981366,36,697.763854980469
-120.551552795031,36,691.403869628906
-120.534782608696,36,717.053894042969
-120.51801242236,36,791.439514160156
-120.501242236025,36,881.699523925781
-120.484472049689,36,800.45947265625
-120.467701863354,36,934.919494628906
-120.450931677019,36,965.469482421875
-120.434161490683,36,814.549499511719
-120.417391304348,36,773.079528808594
-120.400621118012,36,824.859497070312
-120.383850931677,36,802.07373046875
-120.367080745342,36,772.523742675781
-120.350310559006,36,768.57373046875
-120.333540372671,36,778.483764648438
-120.316770186335,36,593.153747558594
-120.3,36,557.663757324219
-123,35.9830985915493,-3576.8515625
-122.983229813665,35.9830985915493,-3569.3916015625
-122.966459627329,35.9830985915493,-3561.36157226562
-122.949689440994,35.9830985915493,-3557.46166992188
-122.932919254658,35.9830985915493,-3555.48510742188
-122.916149068323,35.9830985915493,-3570.4951171875
-122.899378881988,35.9830985915493,-3561.93505859375
-122.882608695652,35.9830985915493,-3549.78515625
-122.865838509317,35.9830985915493,-3557.09497070312
-122.849068322981,35.9830985915493,-3564.23510742188
-122.832298136646,35.9830985915493,-3557.22509765625
-122.815527950311,35.9830985915493,-3560.544921875
-122.798757763975,35.9830985915493,-3526.6494140625
-122.78198757764,35.9830985915493,-3528.98950195312
-122.765217391304,35.9830985915493,-3515.6494140625
-122.748447204969,35.9830985915493,-3509.28955078125
-122.731677018634,35.9830985915493,-3500.20947265625
-122.714906832298,35.9830985915493,-3491.99951171875
-122.698136645963,35.9830985915493,-3479.07958984375
-122.681366459627,35.9830985915493,-3468.52954101562
-122.664596273292,35.9830985915493,-3453.0732421875
-122.647826086957,35.9830985915493,-3432.02319335938
-122.631055900621,35.9830985915493,-3398.85302734375
-122.614285714286,35.9830985915493,-3382.67309570312
-122.59751552795,35.9830985915493,-3363.40307617188
-122.580745341615,35.9830985915493,-3316.68310546875
-122.56397515528,35.9830985915493,-3325.22314453125
-122.547204968944,35.9830985915493,-3315.86303710938
-122.530434782609,35.9830985915493,-3308.865234375
-122.513664596273,35.9830985915493,-3301.21508789062
-122.496894409938,35.9830985915493,-3290.33520507812
-122.480124223603,35.9830985915493,-3266.31518554688
-122.463354037267,35.9830985915493,-3224.56518554688
-122.446583850932,35.9830985915493,-3162.85522460938
-122.429813664596,35.9830985915493,-3093.71508789062
-122.413043478261,35.9830985915493,-3071.97509765625
-122.396273291925,35.9830985915493,-3082.40063476562
-122.37950310559,35.9830985915493,-3050.20068359375
-122.362732919255,35.9830985915493,-2977.49047851562
-122.345962732919,35.9830985915493,-2790.88061523438
-122.329192546584,35.9830985915493,-2489.8505859375
-122.312422360248,35.9830985915493,-2147.48046875
-122.295652173913,35.9830985915493,-1955.90063476562
-122.278881987578,35.9830985915493,-1845.57055664062
-122.262111801242,35.9830985915493,-1788.66833496094
-122.245341614907,35.9830985915493,-1756.48828125
-122.228571428571,35.9830985915493,-1705.64831542969
-122.211801242236,35.9830985915493,-1710.96838378906
-122.195031055901,35.9830985915493,-1668.43835449219
-122.178260869565,35.9830985915493,-1625.18835449219
-122.16149068323,35.9830985915493,-1584.43835449219
-122.144720496894,35.9830985915493,-1549.04833984375
-122.127950310559,35.9830985915493,-1528.58703613281
-122.111180124224,35.9830985915493,-1521.57702636719
-122.094409937888,35.9830985915493,-1537.18701171875
-122.077639751553,35.9830985915493,-1535.56701660156
-122.060869565217,35.9830985915493,-1455.44702148438
-122.044099378882,35.9830985915493,-1410.65698242188
-122.027329192547,35.9830985915493,-1371.63708496094
-122.010559006211,35.9830985915493,-1380.50708007812
-121.993788819876,35.9830985915493,-1481.76586914062
-121.97701863354,35.9830985915493,-1448.9658203125
-121.960248447205,35.9830985915493,-1426.93579101562
-121.94347826087,35.9830985915493,-1385.41589355469
-121.926708074534,35.9830985915493,-1382.41589355469
-121.909937888199,35.9830985915493,-1321.45581054688
-121.893167701863,35.9830985915493,-1341.43579101562
-121.876397515528,35.9830985915493,-1305.35583496094
-121.859627329193,35.9830985915493,-1246.63049316406
-121.842857142857,35.9830985915493,-1231.16052246094
-121.826086956522,35.9830985915493,-1210.810546875
-121.809316770186,35.9830985915493,-1190.25048828125
-121.792546583851,35.9830985915493,-1154.64050292969
-121.775776397516,35.9830985915493,-1123.60046386719
-121.75900621118,35.9830985915493,-1051.20043945312
-121.742236024845,35.9830985915493,-975.360473632812
-121.725465838509,35.9830985915493,-910.960266113281
-121.708695652174,35.9830985915493,-846.750305175781
-121.691925465839,35.9830985915493,-796.520263671875
-121.675155279503,35.9830985915493,-778.5703125
-121.658385093168,35.9830985915493,-760.080261230469
-121.641614906832,35.9830985915493,-701.310302734375
-121.624844720497,35.9830985915493,-578.130310058594
-121.608074534162,35.9830985915493,-476.160278320312
-121.591304347826,35.9830985915493,-403.525634765625
-121.574534161491,35.9830985915493,-321.265655517578
-121.557763975155,35.9830985915493,-164.635650634766
-121.54099378882,35.9830985915493,-97.8756484985352
-121.524223602484,35.9830985915493,-97.675651550293
-121.507453416149,35.9830985915493,-47.9156494140625
-121.490683229814,35.9830985915493,33.2643508911133
-121.473913043478,35.9830985915493,388.054351806641
-121.457142857143,35.9830985915493,744.961181640625
-121.440372670807,35.9830985915493,917.97119140625
-121.423602484472,35.9830985915493,917.211181640625
-121.406832298137,35.9830985915493,793.011169433594
-121.390062111801,35.9830985915493,869.451171875
-121.373291925466,35.9830985915493,863.4912109375
-121.35652173913,35.9830985915493,550.251220703125
-121.339751552795,35.9830985915493,424.331176757812
-121.32298136646,35.9830985915493,419.622680664062
-121.306211180124,35.9830985915493,443.682678222656
