,Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,UTC,Begin.Hour,species,Notes
84,84,Spectrogram 1,1,184691.5315,184838.4805,38.793,1428.879,3/14/23 0:18,0,HmpSng,NA
85,85,Spectrogram 1,1,191986.2347,192016.7431,181.034,420.259,3/14/23 2:19,2,Hmp,NA
86,86,Spectrogram 1,1,193439.9126,193516.3108,64.655,691.81,3/14/23 2:43,2,HmpSng,NA
87,87,Spectrogram 1,1,194590.5649,194713.1072,174.569,995.69,3/14/23 3:03,3,HmpSng,NA
88,88,Spectrogram 1,1,196393.6666,196515.5733,116.379,1086.207,3/14/23 3:33,3,HmpSng,NA
89,89,Spectrogram 1,1,196862.2514,196978.5649,168.103,1034.483,3/14/23 3:40,3,HmpSng,NA
90,90,Spectrogram 1,1,198298.387,198361.9463,122.845,1021.552,3/14/23 4:04,4,HmpSng,NA
91,91,Spectrogram 1,1,202384.6158,202480.2089,168.103,756.466,3/14/23 5:12,5,HmpSng,NA
92,92,Spectrogram 1,1,204018.853,204074.4038,226.293,1551.724,3/14/23 5:40,5,HmpSng,NA
93,93,Spectrogram 1,1,205318.6664,205380.9545,155.172,762.931,3/14/23 6:01,6,HmpSng,NA
94,94,Spectrogram 1,1,207228.8496,207351.519,103.448,995.69,3/14/23 6:33,6,HmpSng,NA
95,95,Spectrogram 1,1,209015.4258,209135.68,64.655,1500,3/14/23 7:03,7,HmpSng,NA
96,96,Spectrogram 1,1,212562.7733,212693.197,109.914,1280.172,3/14/23 8:02,8,HmpSng,NA
97,97,Spectrogram 1,1,216040.2817,216109.5614,64.655,801.724,3/14/23 9:00,9,HmpSng,NA
98,98,Spectrogram 1,1,220001.4258,220123.0783,168.103,724.138,3/14/23 10:06,10,HmpSng,NA
99,99,Spectrogram 1,1,223645.6377,223735.002,142.241,678.879,3/14/23 11:07,11,Hmp,NA
100,100,Spectrogram 1,1,227131.0784,227248.6631,90.517,627.155,3/14/23 12:05,12,HmpSng,NA
101,101,Spectrogram 1,1,227344.9426,227436.7222,109.914,834.052,3/14/23 12:08,12,HmpSng,NA
102,102,Spectrogram 1,1,232222.3579,232261.0019,96.983,627.155,3/14/23 13:30,13,Hmp,NA
103,103,Spectrogram 1,1,252298.9172,252375.6968,155.172,530.172,3/14/23 19:04,19,Hmp,NA
104,104,Spectrogram 1,1,256435.3578,256463.8324,161.638,510.776,3/14/23 20:13,20,HmpSng,NA
105,105,Spectrogram 1,1,272906.6037,272967.1121,90.517,730.603,3/15/23 0:48,0,Hmp,NA
106,106,Spectrogram 1,1,273149.3744,273269.8828,58.19,1066.81,3/15/23 0:52,0,HmpSng,NA
107,107,Spectrogram 1,1,273859.6619,273950.1703,135.776,575.431,3/15/23 1:04,1,HmpSng,NA
108,108,Spectrogram 1,1,274505.2464,274606.5599,174.569,1040.948,3/15/23 1:14,1,HmpSng,NA
109,109,Spectrogram 1,1,277187.8056,277229.2463,226.293,627.155,3/15/23 1:59,1,HmpSng,NA
110,110,Spectrogram 1,1,278840.348,278910.1361,148.707,601.293,3/15/23 2:27,2,HmpSng,NA
111,111,Spectrogram 1,1,278156.8816,278180.5257,200.431,465.517,3/15/23 2:15,2,HmpSng,NA
112,112,Spectrogram 1,1,279672.212,279727.2544,174.569,846.983,3/15/23 2:41,2,HmpSng,NA
113,113,Spectrogram 1,1,280272.7968,280410.9747,135.776,989.224,3/15/23 2:51,2,HmpSng,NA
114,114,Spectrogram 1,1,281417.729,281491.4578,90.517,814.655,3/15/23 3:10,3,HmpSng,NA
115,115,Spectrogram 1,1,282472.1019,282534.2628,148.707,853.448,3/15/23 3:27,3,HmpSng,NA
116,116,Spectrogram 1,1,284479.0765,284553.8222,71.121,769.397,3/15/23 4:01,4,HmpSng,NA
117,117,Spectrogram 1,1,285953.4747,286047.6696,161.638,808.19,3/15/23 4:25,4,HmpSng,NA
118,118,Spectrogram 1,1,288209.6527,288273.9747,71.121,665.948,3/15/23 5:03,5,HmpSng,NA
119,119,Spectrogram 1,1,291622.3305,291689.1949,122.845,653.017,3/15/23 6:00,6,HmpSng,NA
120,120,Spectrogram 1,1,295420.0254,295501.3813,232.759,737.069,3/15/23 7:03,7,HmpSng,NA
121,121,Spectrogram 1,1,298546.076,298580.2709,342.672,614.224,3/15/23 7:55,7,Hmp,NA
122,122,Spectrogram 1,1,300029.6777,300117.898,129.31,601.293,3/15/23 8:20,8,HmpSng,NA
123,123,Spectrogram 1,1,302786.2199,302861.4741,155.172,808.19,3/15/23 9:06,9,HmpSng,NA
124,124,Spectrogram 1,1,309033.2368,309088.7876,135.776,659.483,3/15/23 10:50,10,HmpSng,NA
125,125,Spectrogram 1,1,308838.0587,308889.6689,96.983,672.414,3/15/23 10:47,10,HmpSng,NA
126,126,Spectrogram 1,1,316600.0755,316646.9823,168.103,607.759,3/15/23 12:56,12,Hmp,NA
127,127,Spectrogram 1,1,317539.0245,317690.8041,161.638,943.966,3/15/23 13:12,13,HmpSng,NA
128,128,Spectrogram 1,1,321414.8211,321524.9058,226.293,588.362,3/15/23 14:16,14,HmpSng,NA
129,129,Spectrogram 1,1,330609.6175,330657.414,265.086,678.879,3/15/23 16:49,16,Hmp,NA
130,130,Spectrogram 1,1,331138.5073,331211.0921,206.897,530.172,3/15/23 16:58,16,HmpSng,NA
131,131,Spectrogram 1,1,337466.2954,337503.0327,103.448,575.431,3/15/23 18:44,18,Hmp,NA
132,132,Spectrogram 1,1,338423.4226,338533.7615,96.983,859.914,3/15/23 19:00,19,HmpSng,NA
133,133,Spectrogram 1,1,339554.8802,339638.3971,420.259,808.19,3/15/23 19:19,19,Hmp,NA
134,134,Spectrogram 1,1,351295.0243,351336.8463,284.483,775.862,3/15/23 22:34,22,Hmp,NA
135,135,Spectrogram 1,1,353051.7277,353106.6429,116.379,530.172,3/15/23 23:04,23,HmpSng,NA
136,136,Spectrogram 1,1,354467.1429,354535.4056,109.914,530.172,3/15/23 23:27,23,HmpSng,NA
137,137,Spectrogram 1,1,355320.3632,355385.8292,426.724,892.241,3/15/23 23:41,23,HmpSng,NA
138,138,Spectrogram 1,1,356110.5326,356212.3546,109.914,1144.397,3/15/23 23:54,23,HmpSng,NA
139,139,Spectrogram 1,1,356730.9479,356793.6173,109.914,1015.086,3/16/23 0:05,0,HmpSng,NA
140,140,Spectrogram 1,1,360034.5071,360134.5494,103.448,982.759,3/16/23 1:00,1,HmpSng,NA
141,141,Spectrogram 1,1,363591.0071,363696.8968,245.69,1008.621,3/16/23 1:59,1,HmpSng,NA
142,142,Spectrogram 1,1,363746.1427,363809.702,206.897,1396.552,3/16/23 2:02,2,HmpSng,NA
143,143,Spectrogram 1,1,368095.3545,368144.8036,181.034,581.897,3/16/23 3:14,3,Hmp,NA
144,144,Spectrogram 1,1,372491.0917,372543.9731,90.517,568.966,3/16/23 4:27,4,HmpSng,NA
